location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
RWA,False,False,Not provided,,,,,,1,900110,,dekad,10.869565,22.782608,57.120502,23,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900110,,1-month,100.69565,82.57536,120.69107,23,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900110,,3-month,314.56522,319.27682,98.54704,23,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900110,,dekad,43.47826,21.605797,182.20938,23,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900110,,1-month,108.0,79.46232,133.78748,23,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900110,,3-month,315.86957,303.0493,104.161766,23,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900110,,,,24.972464,97.48078,23,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900110,,1-month,78.565216,69.36087,112.377945,23,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900110,,3-month,280.1739,283.12753,98.974884,23,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900110,,dekad,35.434784,26.692753,127.583694,23,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900110,,1-month,103.13043,73.27101,138.14876,23,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900110,,3-month,295.60867,264.5884,111.50652,23,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900110,,dekad,64.652176,32.3029,186.72055,23,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900110,,1-month,124.30435,83.96812,145.33786,23,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900110,,3-month,328.34784,259.30435,126.12273,23,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900110,,dekad,38.52174,26.014492,140.3271,23,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900110,,1-month,138.6087,85.01015,159.54724,23,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900110,,,,241.76231,131.93472,23,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900110,,dekad,39.434784,46.34348,86.54416,23,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900110,,1-month,142.6087,104.660866,134.60472,23,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900110,,3-month,346.43478,260.50726,132.36354,23,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900110,,dekad,48.347828,38.99565,121.25704,23,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900110,,1-month,126.30435,111.35362,112.84939,23,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900110,,3-month,358.6087,274.78406,129.96048,23,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900110,,dekad,30.304348,57.15507,56.80043,23,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900110,,1-month,118.08696,142.4942,83.45207,23,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900110,,3-month,335.2609,296.8652,112.71949,23,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900110,,dekad,25.782608,55.54493,50.84259,23,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900110,,1-month,104.434784,151.69565,69.83907,23,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900110,,3-month,350.17395,329.62753,106.14009,23,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900110,,dekad,62.782608,50.430435,122.2841,23,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900110,,1-month,118.86957,163.13043,73.67468,23,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900110,,3-month,369.47827,358.45218,103.03371,23,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900110,,dekad,78.695656,45.13768,166.93166,23,final,2022-04-21,2022-04-30
RWA,False,False,Not provided,,,,,,1,900110,,1-month,167.26086,151.11304,110.34367,23,final,2022-04-21,2022-04-30
RWA,False,False,Not provided,,,,,,1,900110,,3-month,423.9565,378.6174,111.81884,23,final,2022-04-21,2022-04-30
RWA,False,False,Not provided,,,,,,1,900110,,dekad,22.086956,39.47246,60.907257,23,final,2022-05-01,2022-05-10
RWA,False,False,Not provided,,,,,,1,900110,,1-month,163.56523,135.04057,120.36885,23,final,2022-05-01,2022-05-10
RWA,False,False,Not provided,,,,,,1,900110,,3-month,410.6087,391.3971,104.84656,23,final,2022-05-01,2022-05-10
RWA,False,False,Not provided,,,,,,1,900110,,dekad,8.782609,34.126087,35.226135,23,final,2022-05-11,2022-05-20
RWA,False,False,Not provided,,,,,,1,900110,,,,118.73623,92.58826,23,final,2022-05-11,2022-05-20
RWA,False,False,Not provided,,,,,,1,900110,,3-month,354.73914,393.22028,90.33672,23,final,2022-05-11,2022-05-20
RWA,False,False,Not provided,,,,,,1,900110,,dekad,67.91304,26.60145,230.72688,23,final,2022-05-21,2022-05-31
RWA,False,False,Not provided,,,,,,1,900110,,1-month,98.78261,100.2,98.65267,23,final,2022-05-21,2022-05-31
RWA,False,False,Not provided,,,,,,1,900110,,3-month,384.13043,393.80725,97.57356,23,final,2022-05-21,2022-05-31
RWA,False,False,Not provided,,,,,,1,900110,,dekad,2.9565217,9.214493,55.974716,23,final,2022-06-01,2022-06-10
RWA,False,False,Not provided,,,,,,1,900110,,1-month,79.65217,69.94203,112.956856,23,final,2022-06-01,2022-06-10
RWA,False,False,Not provided,,,,,,1,900110,,,,356.67825,97.504395,23,final,2022-06-01,2022-06-10
RWA,False,False,Not provided,,,,,,1,900111,,dekad,12.783607,23.05552,63.387196,305,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900111,,1-month,105.29836,85.7683,121.51638,305,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900111,,,,318.60065,93.95612,305,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900111,,dekad,43.508198,22.008852,179.6011,305,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900111,,1-month,107.20328,81.50131,129.71281,305,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900111,,3-month,311.84918,303.9331,102.56239,305,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900111,,dekad,25.495083,24.1847,104.48997,305,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900111,,1-month,81.78689,69.24907,116.88616,305,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900111,,,,285.07507,99.54687,305,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900111,,dekad,32.609837,23.7447,130.84094,305,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900111,,1-month,101.61311,69.938255,142.26794,305,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900111,,3-month,290.41638,264.3069,109.695076,305,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900111,,dekad,50.970493,27.16929,173.98735,305,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900111,,1-month,109.07541,75.09869,142.41858,305,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900111,,3-month,315.22296,254.38841,123.45307,305,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900111,,dekad,33.59672,23.182514,136.95273,305,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900111,,1-month,117.17705,74.096504,154.46579,305,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900111,,,,235.51334,129.50714,305,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900111,,dekad,34.367214,43.552567,81.081635,305,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900111,,1-month,118.93443,93.90437,125.307335,305,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900111,,3-month,325.84592,249.61093,129.94176,305,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900111,,dekad,43.413116,37.338577,114.34753,305,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900111,,1-month,111.37705,104.07366,106.69583,305,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900111,,3-month,327.65573,260.67368,125.21216,305,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900111,,dekad,32.35082,55.134098,62.112545,305,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900111,,1-month,110.13115,136.02524,81.63868,305,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900111,,3-month,309.0951,279.37082,110.45264,305,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900111,,dekad,25.144262,54.574207,50.59952,305,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900111,,1-month,100.908195,147.04689,69.65496,305,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900111,,3-month,321.45575,310.8895,103.34492,305,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900111,,dekad,63.12459,50.7035,122.29858,305,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900111,,1-month,120.619675,160.4118,75.943596,305,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900111,,3-month,341.07214,339.58417,100.43182,305,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900111,,dekad,93.16721,42.06568,208.57494,305,final,2022-04-21,2022-04-30
RWA,False,False,Not provided,,,,,,1,900111,,1-month,181.43607,147.34338,122.37884,305,final,2022-04-21,2022-04-30
